Gene stable ID,Gene start (bp),Gene end (bp),Chromosome/scaffold name,Gene name,Strand
YAL030W,87286,87752,I,SNC1,1
YBL026W,170623,171038,II,LSM2,1
YBL027W,168423,169376,II,RPL19B,1
YBL040C,142112,142868,II,ERD2,-1
YBL059C-A,110125,110539,II,CMC2,-1
YBL087C,59822,60739,II,RPL23A,-1
YBR048W,332831,333812,II,RPS11B,1
YBR082C,406628,407169,II,UBC4,-1
YBR084C-A,414186,415261,II,RPL19A,-1
YBR181C,591712,592774,II,RPS6B,-1
YBR189W,604508,605508,II,RPS9B,1
YBR191W,606270,607140,II,RPL21A,1
YCR031C,177500,178220,III,RPS14A,-1
YDL029W,399340,400638,IV,ARP2,1
YDL064W,337487,338070,IV,UBC9,1
YDL075W,322226,322988,IV,RPL31A,1
YDL082W,308424,309388,IV,RPL13A,1
YDL083C,306926,307789,IV,RPS16B,-1
YDL125C,239019,239606,IV,HNT1,-1
YDL130W,229906,230527,IV,RPP1B,1
YDL136W,217600,218367,IV,RPL35B,1
YDL191W,117664,118517,IV,RPL35A,1
YDR025W,491515,492324,IV,RPS11A,1
YDR064W,579458,580452,IV,RPS13,1
YDR092W,629876,630605,IV,UBC13,1
YDR129C,713340,715379,IV,SAC6,-1
YDR367W,1212848,1213614,IV,KEI1,1
YDR447C,1354829,1355553,IV,RPS17B,-1
YDR450W,1359923,1360798,IV,RPS18A,1
YDR471W,1401770,1402564,IV,RPL27B,1
YDR500C,1450198,1450853,IV,RPL37B,-1
YER056C-A,269423,270185,V,RPL34A,-1
YER074W,306323,307196,V,RPS24A,1
YER117W,396769,397653,V,RPL23B,1
YFL039C,53260,54696,VI,ACT1,-1
YFR031C-A,220507,221418,VI,RPL2A,-1
YGL030W,439091,439638,VII,RPL30,1
YGL103W,310967,311927,VII,RPL28,1
YGL137W,249869,252738,VII,SEC27,1
YGL226C-A,72749,73158,VII,OST5,-1
YGR034W,555812,556672,VII,RPL26B,1
YGR118W,726974,727730,VII,RPS23A,1
YGR183C,859063,859476,VII,QCR9,-1
YGR214W,920575,921788,VII,RPS0A,1
YHL001W,104277,105091,VIII,RPL14B,1
YHR001W-A,107826,108122,VIII,QCR10,1
YHR010W,126521,127492,VIII,RPL27A,1
YHR012W,129481,130448,VIII,VPS29,1
YHR021C,147871,148669,VIII,RPS27B,-1
YHR141C,381990,382751,VIII,RPL42B,-1
YHR203C,504476,505530,VIII,RPS4B,-1
YIL018W,316768,317932,IX,RPL2B,1
YIL052C,256226,257063,IX,RPL34B,-1
YIL069C,231553,232369,IX,RPS24B,-1
YIL111W,155222,155765,IX,COX5B,1
YIL133C,98527,99416,IX,RPL16A,-1
YIL148W,68708,69528,IX,RPL40A,1
YJL001W,435163,435926,X,PRE3,1
YJL136C,156550,157273,X,RPS21B,-1
YJL177W,90786,91657,X,RPL17B,1
YJL189W,75933,76474,X,RPL39,1
YJR094W-A,608305,608858,X,RPL43B,1
YJR145C,702027,703068,X,RPS4A,-1
YKL006W,431906,432720,XI,RPL14A,1
YKL156W,158613,159212,XI,RPS27A,1
YKL180W,109269,110129,XI,RPL17A,1
YKL190W,82947,83550,XI,CNB1,1
YKR057W,551657,552242,XI,RPS21A,1
YKR094C,617996,618750,XI,RPL40B,-1
YLL050C,39804,40414,XII,COF1,-1
YLR048W,242232,243349,XII,RPS0B,1
YLR061W,263194,263948,XII,RPL22A,1
YLR185W,522663,523288,XII,RPL37A,1
YLR287C-A,712537,713158,XII,RPS30A,-1
YLR344W,819312,820142,XII,RPL26A,1
YLR406C,931065,931755,XII,RPL31B,-1
YLR448W,1028854,1029768,XII,RPL6B,1
YML024W,225889,226697,XIII,RPS17A,1
YML026C,222987,223828,XIII,RPS18B,-1
YML036W,205642,206293,XIII,CGI121,1
YML073C,123227,124172,XIII,RPL6A,-1
YML085C,97941,99400,XIII,TUB1,-1
YMR079W,424989,426059,XIII,SEC14,1
YMR142C,550206,551207,XIII,RPL13B,-1
YMR143W,551928,552903,XIII,RPS16A,1
YMR194W,651145,651910,XIII,RPL36A,1
YMR230W,732414,733141,XIII,RPS10B,1
YMR242C,753225,754220,XIII,RPL20A,-1
YMR292W,854795,855293,XIII,GOT1,1
YNL004W,622915,624621,XIV,HRB1,1
YNL038W,557020,557783,XIV,GPI15,1
YNL069C,493956,495001,XIV,RPL16B,-1
YNL096C,443398,444315,XIV,RPS7B,-1
YNL130C,379558,380831,XIV,CPT1,-1
YNL162W,331322,332154,XIV,RPL42A,1
YNL301C,63570,64562,XIV,RPL18B,-1
YNL302C,61958,62943,XIV,RPS19B,-1
YOL048C,240204,241310,XV,RRT8,-1
YOL120C,93395,94402,XV,RPL18A,-1
YOL121C,92026,92850,XV,RPS19A,-1
YOL127W,80348,81190,XV,RPL25,1
YOR096W,505794,506767,XV,RPS7A,1
YOR122C,552298,552887,XV,PFY1,-1
YOR182C,678191,678793,XV,RPS30B,-1
YOR234C,778555,779405,XV,RPL33B,-1
YOR293W,867098,867852,XV,RPS10A,1
YOR312C,900250,901194,XV,RPL20B,-1
YPL031C,492018,493037,XVI,PHO85,-1
YPL079W,406636,407539,XVI,RPL21B,1
YPL090C,377291,378395,XVI,RPS6A,-1
YPL143W,282122,282970,XVI,RPL33A,1
YPL218W,138698,139409,XVI,SAR1,1
YPL249C-A,75699,76239,XVI,RPL36B,-1
YPR028W,623527,624202,XVI,YOP1,1
YPR043W,654166,654847,XVI,RPL43A,1
YPR132W,794965,795767,XVI,RPS23B,1
YPR187W,911257,911800,XVI,RPO26,1
