ID	ORG	Strand	intron_start	Intron_end	Chromosome	gene_start	gene_end
S000000028_C	YAL030W	1	87388	87500	chrI	87286	87752
S000000122_C	YBL026W	1	170677	170804	chrII	170623	171038
S000000123_C	YBL027W	1	168425	168808	chrII	168423	169376
S000000136_C	YBL040C	-1	142750	142846	chrII	142112	142868
S000007488_C	YBL059C-A	-1	110421	110505	chrII	110125	110539
S000000183_C	YBL087C	-1	60194	60697	chrII	59822	60739
S000000252_C	YBR048W	1	332876	333386	chrII	332831	333812
S000000286_C	YBR082C	-1	407028	407122	chrII	406628	407169
S000002156_C	YBR084C-A	-1	414754	415259	chrII	414186	415261
S000000385_C	YBR181C	-1	592417	592768	chrII	591712	592774
S000000393_C	YBR189W	1	604515	604927	chrII	604508	605508
S000000395_C	YBR191W	1	606281	606668	chrII	606270	607140
S000000627_C	YCR031C	-1	177907	178213	chrIII	177500	178220
S000002187_C	YDL029W	1	399362	399484	chrIV	399340	400638
S000002222_C	YDL064W	1	337525	337634	chrIV	337487	338070
S000002233_C	YDL075W	1	322283	322703	chrIV	322226	322988
S000002240_C	YDL082W	1	308428	308792	chrIV	308424	309388
S000002241_C	YDL083C	-1	307334	307765	chrIV	306926	307789
S000002283_C	YDL125C	-1	239399	239509	chrIV	239019	239606
S000002288_C	YDL130W	1	230020	230320	chrIV	229906	230527
S000002295_C	YDL136W	1	217603	218007	chrIV	217600	218367
S000002350_C	YDL191W	1	117667	118157	chrIV	117664	118517
S000002432_C	YDR025W	1	491560	491898	chrIV	491515	492324
S000002471_C	YDR064W	1	579479	580017	chrIV	579458	580452
S000002499_C	YDR092W	1	629906	630173	chrIV	629876	630605
S000002536_C	YDR129C	-1	715248	715358	chrIV	713340	715379
S000002775_C	YDR367W	1	1212878	1212978	chrIV	1212848	1213614
S000002855_C	YDR447C	-1	1355237	1355550	chrIV	1354829	1355553
S000002858_C	YDR450W	1	1359970	1360404	chrIV	1359923	1360798
S000002879_C	YDR471W	1	1401801	1402184	chrIV	1401770	1402564
S000002908_C	YDR500C	-1	1450458	1450846	chrIV	1450198	1450853
S000002135_C	YER056C-A	-1	269752	270148	chrV	269423	270185
S000000876_C	YER074W	1	306326	306791	chrV	306323	307196
S000000919_C	YER117W	1	396811	397281	chrV	396769	397653
S000001855_C	YFL039C	-1	54378	54686	chrVI	53260	54696
S000002104_C	YFR031C-A	-1	221268	221414	chrVI	220507	221418
S000002998_C	YGL030W	1	439094	439323	chrVII	439091	439638
S000003071_C	YGL103W	1	311016	311526	chrVII	310967	311927
S000003105_C	YGL137W	1	249887	250086	chrVII	249869	252738
S000003194_C	YGL226C-A	-1	72989	73137	chrVII	72749	73158
